Neuron,URL
DVF,https://www.wormatlas.org/neurons/Individual%20Neurons/DVFframeset.html
DX1/2,https://www.wormatlas.org/neurons/Individual%20Neurons/DXframeset.html
DX1/2,https://www.wormatlas.org/neurons/Individual%20Neurons/DXframeset.html
DX3/4,https://www.wormatlas.org/neurons/Individual%20Neurons/DXframeset.html
DX3/4,https://www.wormatlas.org/neurons/Individual%20Neurons/DXframeset.html
EF1/2,https://www.wormatlas.org/neurons/Individual%20Neurons/EFframeset.html
EF1/2,https://www.wormatlas.org/neurons/Individual%20Neurons/EFframeset.html
EF3/4,https://www.wormatlas.org/neurons/Individual%20Neurons/EFframeset.html
EF3/4,https://www.wormatlas.org/neurons/Individual%20Neurons/EFframeset.html
FLPL,https://www.wormatlas.org/neurons/Individual%20Neurons/FLPframeset.html
FLPR,https://www.wormatlas.org/neurons/Individual%20Neurons/FLPframeset.html
HOA,https://www.wormatlas.org/neurons/Individual%20Neurons/HOAframeset.html
HOB,https://www.wormatlas.org/neurons/Individual%20Neurons/HOBframeset.html
HSNL,https://www.wormatlas.org/neurons/Individual%20Neurons/HSNframeset.html
HSNR,https://www.wormatlas.org/neurons/Individual%20Neurons/HSNframeset.html
I1L,https://www.wormatlas.org/neurons/Individual%20Neurons/I1frameset.html
I1R,https://www.wormatlas.org/neurons/Individual%20Neurons/I1frameset.html
I2L,https://www.wormatlas.org/neurons/Individual%20Neurons/I2frameset.html
I2R,https://www.wormatlas.org/neurons/Individual%20Neurons/I2frameset.html
I3,https://www.wormatlas.org/neurons/Individual%20Neurons/I3frameset.html
I4,https://www.wormatlas.org/neurons/Individual%20Neurons/I4frameset.html
I5,https://www.wormatlas.org/neurons/Individual%20Neurons/I5frameset.html
I6,https://www.wormatlas.org/neurons/Individual%20Neurons/I6frameset.html
IL1DL,https://www.wormatlas.org/neurons/Individual%20Neurons/IL1frameset.html
IL1DR,https://www.wormatlas.org/neurons/Individual%20Neurons/IL1frameset.html
IL1L,https://www.wormatlas.org/neurons/Individual%20Neurons/IL1frameset.html
IL1R,https://www.wormatlas.org/neurons/Individual%20Neurons/IL1frameset.html
IL1VL,https://www.wormatlas.org/neurons/Individual%20Neurons/IL1frameset.html
IL1VR,https://www.wormatlas.org/neurons/Individual%20Neurons/IL1frameset.html
IL2DL,https://www.wormatlas.org/neurons/Individual%20Neurons/IL2frameset.html
IL2DR,https://www.wormatlas.org/neurons/Individual%20Neurons/IL2frameset.html
IL2L,https://www.wormatlas.org/neurons/Individual%20Neurons/IL2frameset.html
IL2R,https://www.wormatlas.org/neurons/Individual%20Neurons/IL2frameset.html
IL2VL,https://www.wormatlas.org/neurons/Individual%20Neurons/IL2frameset.html
IL2VR,https://www.wormatlas.org/neurons/Individual%20Neurons/IL2frameset.html
LUAL,https://www.wormatlas.org/neurons/Individual%20Neurons/LUAframeset.html
LUAR,https://www.wormatlas.org/neurons/Individual%20Neurons/LUAframeset.html
M1,https://www.wormatlas.org/neurons/Individual%20Neurons/M1frameset.html
M2L,https://www.wormatlas.org/neurons/Individual%20Neurons/M2frameset.html
M2R,https://www.wormatlas.org/neurons/Individual%20Neurons/M2frameset.html
M3L,https://www.wormatlas.org/neurons/Individual%20Neurons/M3frameset.html
M3R,https://www.wormatlas.org/neurons/Individual%20Neurons/M3frameset.html
M4,https://www.wormatlas.org/neurons/Individual%20Neurons/M4frameset.html
M5,https://www.wormatlas.org/neurons/Individual%20Neurons/M5frameset.html
MCL,https://www.wormatlas.org/neurons/Individual%20Neurons/MCframeset.html
MCR,https://www.wormatlas.org/neurons/Individual%20Neurons/MCframeset.html
MI,https://www.wormatlas.org/neurons/Individual%20Neurons/MIframeset.html
NSML,https://www.wormatlas.org/neurons/Individual%20Neurons/NSMframeset.html
NSMR,https://www.wormatlas.org/neurons/Individual%20Neurons/NSMframeset.html
OLLL,https://www.wormatlas.org/neurons/Individual%20Neurons/OLLframeset.html
OLLR,https://www.wormatlas.org/neurons/Individual%20Neurons/OLLframeset.html
OLQDL,https://www.wormatlas.org/neurons/Individual%20Neurons/OLQframeset.html
OLQDR,https://www.wormatlas.org/neurons/Individual%20Neurons/OLQframeset.html
OLQVL,https://www.wormatlas.org/neurons/Individual%20Neurons/OLQframeset.html
OLQVR,https://www.wormatlas.org/neurons/Individual%20Neurons/OLQframeset.html
PCAL,https://www.wormatlas.org/neurons/Individual%20Neurons/PCAframeset.html
PCAR,https://www.wormatlas.org/neurons/Individual%20Neurons/PCAframeset.html
PCBL,https://www.wormatlas.org/neurons/Individual%20Neurons/PCBframeset.html
PCBR,https://www.wormatlas.org/neurons/Individual%20Neurons/PCBframeset.html
PCCL,https://www.wormatlas.org/neurons/Individual%20Neurons/PCCframeset.html
PCCR,https://www.wormatlas.org/neurons/Individual%20Neurons/PCCframeset.html
PDA,https://www.wormatlas.org/neurons/Individual%20Neurons/PDAframeset.html
PDB,https://www.wormatlas.org/neurons/Individual%20Neurons/PDBframeset.html
PDC,https://www.wormatlas.org/neurons/Individual%20Neurons/PDCframeset.html
PDEL,https://www.wormatlas.org/neurons/Individual%20Neurons/PDEframeset.html
PDER,https://www.wormatlas.org/neurons/Individual%20Neurons/PDEframeset.html
PGA,https://www.wormatlas.org/neurons/Individual%20Neurons/PGAframeset.html
PHAL,https://www.wormatlas.org/neurons/Individual%20Neurons/PHAframeset.html
PHAR,https://www.wormatlas.org/neurons/Individual%20Neurons/PHAframeset.html
PHBL,https://www.wormatlas.org/neurons/Individual%20Neurons/PHBframeset.html
PHBR,https://www.wormatlas.org/neurons/Individual%20Neurons/PHBframeset.html
PHCL,https://www.wormatlas.org/neurons/Individual%20Neurons/PHCframeset.html
PHCR,https://www.wormatlas.org/neurons/Individual%20Neurons/PHCframeset.html
PLML,https://www.wormatlas.org/neurons/Individual%20Neurons/PLMframeset.html
PLMR,https://www.wormatlas.org/neurons/Individual%20Neurons/PLMframeset.html
PLNL,https://www.wormatlas.org/neurons/Individual%20Neurons/PLNframeset.html
PLNR,https://www.wormatlas.org/neurons/Individual%20Neurons/PLNframeset.html
PQR,https://www.wormatlas.org/neurons/Individual%20Neurons/PQRframeset.html
PVCL,https://www.wormatlas.org/neurons/Individual%20Neurons/PVCframeset.html
PVCR,https://www.wormatlas.org/neurons/Individual%20Neurons/PVCframeset.html
PVDL,https://www.wormatlas.org/neurons/Individual%20Neurons/PVDframeset.html
PVDR,https://www.wormatlas.org/neurons/Individual%20Neurons/PVDframeset.html
PVM,https://www.wormatlas.org/neurons/Individual%20Neurons/PVMframeset.html
PVNL,https://www.wormatlas.org/neurons/Individual%20Neurons/PVNframeset.html
PVNR,https://www.wormatlas.org/neurons/Individual%20Neurons/PVNframeset.html
PVPL,https://www.wormatlas.org/neurons/Individual%20Neurons/PVPframeset.html
PVPR,https://www.wormatlas.org/neurons/Individual%20Neurons/PVPframeset.html
PVQL,https://www.wormatlas.org/neurons/Individual%20Neurons/PVQframeset.html
PVQR,https://www.wormatlas.org/neurons/Individual%20Neurons/PVQframeset.html
PVR,https://www.wormatlas.org/neurons/Individual%20Neurons/PVRframeset.html
PVS,https://www.wormatlas.org/neurons/Individual%20Neurons/PVSframeset.html
PVT,https://www.wormatlas.org/neurons/Individual%20Neurons/PVTframeset.html
PVU,https://www.wormatlas.org/neurons/Individual%20Neurons/PVUframeset.html
PVV,https://www.wormatlas.org/neurons/Individual%20Neurons/PVVframeset.html
PVWL,https://www.wormatlas.org/neurons/Individual%20Neurons/PVWframeset.html
PVWR,https://www.wormatlas.org/neurons/Individual%20Neurons/PVWframeset.html
PVY,https://www.wormatlas.org/neurons/Individual%20Neurons/PVYframeset.html
PVX,https://www.wormatlas.org/neurons/Individual%20Neurons/PVXframeset.html
PVZ,https://www.wormatlas.org/neurons/Individual%20Neurons/PVZframeset.html
R1AL,https://www.wormatlas.org/neurons/Individual%20Neurons/R1Aframeset.html
R1AR,https://www.wormatlas.org/neurons/Individual%20Neurons/R1Aframeset.html
R1BL,https://www.wormatlas.org/neurons/Individual%20Neurons/R1Bframeset.html
R1BR,https://www.wormatlas.org/neurons/Individual%20Neurons/R1Bframeset.html
R2AL,https://www.wormatlas.org/neurons/Individual%20Neurons/R2Aframeset.html
R2AR,https://www.wormatlas.org/neurons/Individual%20Neurons/R2Aframeset.html
R2BL,https://www.wormatlas.org/neurons/Individual%20Neurons/R2Bframeset.html
R2BR,https://www.wormatlas.org/neurons/Individual%20Neurons/R2Bframeset.html
R3AL,https://www.wormatlas.org/neurons/Individual%20Neurons/R3Aframeset.html
R3AR,https://www.wormatlas.org/neurons/Individual%20Neurons/R3Aframeset.html
R3BL,https://www.wormatlas.org/neurons/Individual%20Neurons/R3Bframeset.html
R3BR,https://www.wormatlas.org/neurons/Individual%20Neurons/R3Bframeset.html
R4AL,https://www.wormatlas.org/neurons/Individual%20Neurons/R4Aframeset.html
R4AR,https://www.wormatlas.org/neurons/Individual%20Neurons/R4Aframeset.html
R4BL,https://www.wormatlas.org/neurons/Individual%20Neurons/R4Bframeset.html
R4BR,https://www.wormatlas.org/neurons/Individual%20Neurons/R4Bframeset.html
R5AL,https://www.wormatlas.org/neurons/Individual%20Neurons/R5Aframeset.html
R5AR,https://www.wormatlas.org/neurons/Individual%20Neurons/R5Aframeset.html
R5BL,https://www.wormatlas.org/neurons/Individual%20Neurons/R5Bframeset.html
R5BR,https://www.wormatlas.org/neurons/Individual%20Neurons/R5Bframeset.html
R6AL,https://www.wormatlas.org/neurons/Individual%20Neurons/R6Aframeset.html
R6AR,https://www.wormatlas.org/neurons/Individual%20Neurons/R6Aframeset.html
R6BL,https://www.wormatlas.org/neurons/Individual%20Neurons/R6Bframeset.html
R6BR,https://www.wormatlas.org/neurons/Individual%20Neurons/R6Bframeset.html
R7AL,https://www.wormatlas.org/neurons/Individual%20Neurons/R7Aframeset.html
R7AR,https://www.wormatlas.org/neurons/Individual%20Neurons/R7Aframeset.html
R7BL,https://www.wormatlas.org/neurons/Individual%20Neurons/R7Bframeset.html
R7BR,https://www.wormatlas.org/neurons/Individual%20Neurons/R7Bframeset.html
R8AL,https://www.wormatlas.org/neurons/Individual%20Neurons/R8Aframeset.html
R8AR,https://www.wormatlas.org/neurons/Individual%20Neurons/R8Aframeset.html
R8BL,https://www.wormatlas.org/neurons/Individual%20Neurons/R8Bframeset.html
R8BR,https://www.wormatlas.org/neurons/Individual%20Neurons/R8Bframeset.html
R9AL,https://www.wormatlas.org/neurons/Individual%20Neurons/R9Aframeset.html
R9AR,https://www.wormatlas.org/neurons/Individual%20Neurons/R9Aframeset.html
R9BL,https://www.wormatlas.org/neurons/Individual%20Neurons/R9Bframeset.html
R9BR,https://www.wormatlas.org/neurons/Individual%20Neurons/R9Bframeset.html
RIAL,https://www.wormatlas.org/neurons/Individual%20Neurons/RIAframeset.html
RIAR,https://www.wormatlas.org/neurons/Individual%20Neurons/RIAframeset.html
RIBL,https://www.wormatlas.org/neurons/Individual%20Neurons/RIBframeset.html
RIBR,https://www.wormatlas.org/neurons/Individual%20Neurons/RIBframeset.html
